rank,name,level,win
462,itsumonoyoni,62,240
463,ni lai wo si,67,260
464,19762345843,104,254
465,noobad03,67,272
466,ChoGoT,98,105
467,강의 이블린팀com,68,162
468,이성죠,354,149
469,자신감의보조,170,168
470,꽉잡아여,206,360
471,갱붕이,409,347
472,Witt Mid,372,216
473,xiongdimen,278,113
474,VG 뽀오,380,135
475,Introverted Ornn,246,194
476,FPX q2380023067c,91,359
477,sanspareil2,99,530
478,민수99,98,195
479,lavazz,130,105
480,띄 뭉,402,122
481,돌이킬 수 있는,481,159
482,sbshangdan,422,204
483,Endless learning,90,114
484,Enosh1,98,176
485,Golden mole,213,52
486,늪에 빠지다1,632,81
487,123456654321,62,237
488,Fantasy Moon,119,230
489,아자아자화이팅9,40,70
490,리그오브레전드ll,473,257
491,초보강아지,309,94
492,Happie,46,107
493,cxybaby,216,118
494,오스기,310,247
495,iwilldomybest,136,221
496,JianXlan,72,127
497,크리페,529,113
498,come on and win,151,228
499,버기해적단 버기,218,248
500,dayuluoxia,227,272
501,6974123588462197,44,86
502,구글 롤브라더스,85,288
503,평범한 숟가락,347,311
504,Zeus Fan1,70,169
505,외길인생 샤코,334,294
506,Noticed,398,312
507,AFTV 문성규,190,204
508,icddo,58,135
509,5712873216837216,59,198
510,Iras,127,241
511,진짜개못하는미드,201,311
512,Pyke 신,83,245
513,Dan Xiao Gu,54,170
514,Destiny,458,334
515,벼향기,49,138
516,with Qowy,229,90
517,호우시우보,308,86
518,부드러운계란과자,382,247
519,By 불비,649,247
520,모두가 건강하길,48,96
521,friigid,254,180
522,Fizz GOD 00,67,109
523,하루 200점씩 UP,105,441
524,구글롤플릭스검색,68,97
525,오노데라 레이,113,105
526,가끔 이러다1,143,251
527,잘하자 이현2022,717,114
528,불운소년,72,112
529,CCwhitte,111,133
530,젠지 제스트,258,165
531,BRO Loopy,375,277
532,바보상단 영민,119,213
533,Phaseless,441,503
534,324141312421213,402,186
535,buzhesuimu,63,251
536,제드팀 검색 구글,64,115
537,fdtft,80,228
538,내나이가어때서어,574,190
539,cainiao1hao,55,176
540,2000년9월8일,631,116
541,남장구,233,323
542,kfo,686,313
543,DNK01,82,404
544,wonangfei zz,116,264
545,sksqnf,422,191
546,LoveMiyoshiAyaka,46,119
547,순위 재밌다,58,216
548,폭탄목걸이수련법,189,89
549,노력 집념 열정,125,106
550,love again1,76,222
551,스물다섯번째밤,186,225
552,asdsafhgfdgfsdaf,530,186
553,연애꽃,554,97
554,be a Good,175,269
555,dasdqwr,57,210
556,scy19980304,117,195
557,Rio Kairos,129,279
558,haoye,301,288
559,zzm7,107,292
560,ci jian wu sheng,67,156
561,DK Rahel,399,149
562,문효준,291,68
563,변흥호,136,166
564,박치기공룡입니다,299,104
565,유령송 1시간반복,306,222
566,MS77,589,222
567,qingxuzhishen,177,148
568,Zooorn,77,363
569,여행 떠나기,286,93
570,무채색의 한남자,85,108
571,Benit,139,203
572,악마 넙치,325,114
573,heihoushuohua,66,254
574,KDF BuLLDoG,291,145
575,Fayer,177,173
576,S3 ADC,392,272
577,두꺼비압수,239,355
578,sweet lily,94,368
579,매우잘하고싶다,417,191
580,갈 망 하다0,99,67
581,민태석,399,159
582,FEMALE CHEETAH,70,153
583,yaoyaoxiaokeai,60,210
584,늘잘하고싶은사람,63,56
585,아프리카TV소신,214,130
586,군대가기시러어어,484,279
587,희포리,678,200
588,Kitagawa Kaimu,43,104
589,tes sanbanfu,54,169
590,캐리나할까,88,165
591,계속되는 침체,70,156
592,더이상만나,309,126
593,매혹으짜니,333,350
594,Mei Tian Kun,389,105
595,HamBak1,160,128
596,히끼꼬무리,425,285
597,숨바꼭질,500,201
598,달달하구여,497,483
599,시밤게임,453,347
600,오또마,598,232
601,kplwvyza,43,89
602,easy for u,116,238
603,Sad ADC,54,109
604,Apex 301,50,134
605,새하얀 thigh,378,219
606,kiwi doctor,61,222
607,박지복,395,94
608,Vsta1,380,46
609,okinin,65,253
610,잠 컨,251,123
611,0S20,175,178
612,나는멀리서왔어,60,62
613,G2 Kabishou,86,220
614,세 긴,208,189
615,qi2 8guai,46,125
616,LIONISOLATE,98,110
617,볼때마다잘하는놈,114,94
618,준 원,52,70
619,선지자,72,148
620,Thanatos,151,223
621,elole,255,153
622,TOPKING,331,100
623,김도칠,474,126
624,Tao yan pian zi,141,231
625,렐서폿,303,65
626,Oh Lovely,84,71
627,abcdefgaaa,257,268
628,애디는말안두뤄,865,278
629,불이과 ,63,177
630,GSJ,383,165
631,FPX q2380023067f,685,469
632,pyke k1ng,92,129
633,T1 포톤,126,153
634,Frog프로그,309,351
635,kojhy,69,231
636,Forgive my youth,77,194
637,psss,96,281
638,aner,242,192
639,SounDA,222,210
640,공부하기시러요,369,234
641,따봉 람머스,352,235
642,말도 안된다1,49,100
643,Turned to leave,85,431
644,광동 광예후,241,226
645,Twitch Tv 쥐린내,437,316
646,qwezr,51,151
647,이품진,63,185
648,주니어주니어,547,150
649,pleataz,574,156
650,weythdjnczxvc,62,241
651,kenzhu Sir,56,177
652,verus pruina,624,208
653,cheng xiao yu ,54,161
654,젠지 가습기도둑,114,233
655,cosmossss,64,157
656,한 줌의 여유,123,205
657,Migung,673,174
658,cainiao4hao,45,110
659,INININNOchat,164,163
660,버스타고쉔다,131,242
661,젤라또 푸딩,200,277
662,jiba1,116,109
663,Hardcor9,61,177
664,키톤7 ,75,151
665,autumnK,46,126
666,Saebyuck,292,104
667,zcxvzxzczcxxz,101,139
668,너만사랑하고싶어,91,144
669,세마리 도사견,133,311
670,nihao 2022,43,91
671,지훈좌의프로토스,89,66
672,화내 지 마12,429,212
